fasta,name,organism,source,genome_assembly
s3://ngi-igenomes/igenomes/Rattus_norvegicus/UCSC/rn6/Sequence/WholeGenomeFasta/genome.fa,Rattus_norvegicus/UCSC/rn6,Rattus norvegicus,UCSC,rn6
s3://ngi-igenomes/igenomes/Rhodobacter_sphaeroides_2.4.1/NCBI/2005-10-07/Sequence/WholeGenomeFasta/genome.fa,Rhodobacter_sphaeroides_2.4.1/NCBI/2005-10-07,Rhodobacter sphaeroides 2.4.1,NCBI,2005-10-07
s3://ngi-igenomes/igenomes/Saccharomyces_cerevisiae/Ensembl/EF2/Sequence/WholeGenomeFasta/genome.fa,Saccharomyces_cerevisiae/Ensembl/EF2,Saccharomyces cerevisiae,Ensembl,EF2
s3://ngi-igenomes/igenomes/Saccharomyces_cerevisiae/Ensembl/EF3/Sequence/WholeGenomeFasta/genome.fa,Saccharomyces_cerevisiae/Ensembl/EF3,Saccharomyces cerevisiae,Ensembl,EF3
s3://ngi-igenomes/igenomes/Saccharomyces_cerevisiae/Ensembl/EF4/Sequence/WholeGenomeFasta/genome.fa,Saccharomyces_cerevisiae/Ensembl/EF4,Saccharomyces cerevisiae,Ensembl,EF4
s3://ngi-igenomes/igenomes/Saccharomyces_cerevisiae/Ensembl/R64-1-1/Sequence/WholeGenomeFasta/genome.fa,Saccharomyces_cerevisiae/Ensembl/R64-1-1,Saccharomyces cerevisiae,Ensembl,R64-1-1
s3://ngi-igenomes/igenomes/Saccharomyces_cerevisiae/NCBI/build2.1/Sequence/WholeGenomeFasta/genome.fa,Saccharomyces_cerevisiae/NCBI/build2.1,Saccharomyces cerevisiae,NCBI,build2.1
s3://ngi-igenomes/igenomes/Saccharomyces_cerevisiae/NCBI/build3.1/Sequence/WholeGenomeFasta/genome.fa,Saccharomyces_cerevisiae/NCBI/build3.1,Saccharomyces cerevisiae,NCBI,build3.1
s3://ngi-igenomes/igenomes/Saccharomyces_cerevisiae/UCSC/sacCer2/Sequence/WholeGenomeFasta/genome.fa,Saccharomyces_cerevisiae/UCSC/sacCer2,Saccharomyces cerevisiae,UCSC,sacCer2
s3://ngi-igenomes/igenomes/Saccharomyces_cerevisiae/UCSC/sacCer3/Sequence/WholeGenomeFasta/genome.fa,Saccharomyces_cerevisiae/UCSC/sacCer3,Saccharomyces cerevisiae,UCSC,sacCer3
s3://ngi-igenomes/igenomes/Schizosaccharomyces_pombe/Ensembl/EF1/Sequence/WholeGenomeFasta/genome.fa,Schizosaccharomyces_pombe/Ensembl/EF1,Schizosaccharomyces pombe,Ensembl,EF1
s3://ngi-igenomes/igenomes/Schizosaccharomyces_pombe/Ensembl/EF2/Sequence/WholeGenomeFasta/genome.fa,Schizosaccharomyces_pombe/Ensembl/EF2,Schizosaccharomyces pombe,Ensembl,EF2
s3://ngi-igenomes/igenomes/Sorangium_cellulosum_So_ce_56/NCBI/2007-11-27/Sequence/WholeGenomeFasta/genome.fa,Sorangium_cellulosum_So_ce_56/NCBI/2007-11-27,Sorangium cellulosum So ce 56,NCBI,2007-11-27
s3://ngi-igenomes/igenomes/Sorghum_bicolor/Ensembl/Sbi1/Sequence/WholeGenomeFasta/genome.fa,Sorghum_bicolor/Ensembl/Sbi1,Sorghum bicolor,Ensembl,Sbi1
s3://ngi-igenomes/igenomes/Staphylococcus_aureus_NCTC_8325/NCBI/2006-02-13/Sequence/WholeGenomeFasta/genome.fa,Staphylococcus_aureus_NCTC_8325/NCBI/2006-02-13,Staphylococcus aureus NCTC 8325,NCBI,2006-02-13
s3://ngi-igenomes/igenomes/Sus_scrofa/Ensembl/Sscrofa10.2/Sequence/WholeGenomeFasta/genome.fa,Sus_scrofa/Ensembl/Sscrofa10.2,Sus scrofa,Ensembl,Sscrofa10.2
s3://ngi-igenomes/igenomes/Sus_scrofa/Ensembl/Sscrofa9/Sequence/WholeGenomeFasta/genome.fa,Sus_scrofa/Ensembl/Sscrofa9,Sus scrofa,Ensembl,Sscrofa9
s3://ngi-igenomes/igenomes/Sus_scrofa/NCBI/Sscrofa10.2/Sequence/WholeGenomeFasta/genome.fa,Sus_scrofa/NCBI/Sscrofa10.2,Sus scrofa,NCBI,Sscrofa10.2
s3://ngi-igenomes/igenomes/Sus_scrofa/NCBI/Sscrofa10/Sequence/WholeGenomeFasta/genome.fa,Sus_scrofa/NCBI/Sscrofa10,Sus scrofa,NCBI,Sscrofa10
s3://ngi-igenomes/igenomes/Sus_scrofa/NCBI/Sscrofa9.2/Sequence/WholeGenomeFasta/genome.fa,Sus_scrofa/NCBI/Sscrofa9.2,Sus scrofa,NCBI,Sscrofa9.2
s3://ngi-igenomes/igenomes/Sus_scrofa/UCSC/susScr2/Sequence/WholeGenomeFasta/genome.fa,Sus_scrofa/UCSC/susScr2,Sus scrofa,UCSC,susScr2
s3://ngi-igenomes/igenomes/Sus_scrofa/UCSC/susScr3/Sequence/WholeGenomeFasta/genome.fa,Sus_scrofa/UCSC/susScr3,Sus scrofa,UCSC,susScr3
s3://ngi-igenomes/igenomes/Zea_mays/Ensembl/AGPv2/Sequence/WholeGenomeFasta/genome.fa,Zea_mays/Ensembl/AGPv2,Zea mays,Ensembl,AGPv2
s3://ngi-igenomes/igenomes/Zea_mays/Ensembl/AGPv3/Sequence/WholeGenomeFasta/genome.fa,Zea_mays/Ensembl/AGPv3,Zea mays,Ensembl,AGPv3
