fasta,name,organism,source,accession,genome_assembly
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_035083965.1.fa.gz,klBraLanc5.hap2,Branchiostoma lanceolatum,VGP,GCA_035083965.1,klBraLanc5.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965231335.1.fa.gz,bBraCan1.1,Branta canadensis,VGP,GCA_965231335.1,bBraCan1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964059595.1.fa.gz,bBucCla1.1,Bucephala clangula,VGP,GCA_964059595.1,bBucCla1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_009769605.1.fa.gz,bBucAby1.pri,Bucorvus abyssinicus,VGP,GCA_009769605.1,bBucAby1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_905171765.1.fa.gz,aBufBuf1.1,Bufo bufo,VGP,GCF_905171765.1,aBufBuf1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964188355.1.fa.gz,bButBut1.hap1.1,Buteo buteo,VGP,GCA_964188355.1,bButBut1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048129055.1.fa.gz,fCaeTer1.1_haplotype_1,Caesio teres,VGP,GCA_048129055.1,fCaeTer1.1_haplotype_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_049354715.1.fa.gz,calJac240_pri,Callithrix jacchus,VGP,GCA_049354715.1,calJac240_pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_011100555.1.fa.gz,mCalJa1.2.pat.X,Callithrix jacchus,VGP,GCF_011100555.1,mCalJa1.2.pat.X
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048772815.1.fa.gz,mCalLat2.hap1,Callospermophilus lateralis,VGP,GCA_048772815.1,mCalLat2.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_036013445.1.fa.gz,bCalNic1.hap1,Caloenas nicobarica,VGP,GCF_036013445.1,bCalNic1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964195595.2.fa.gz,bCalBor7.hap1.2,Calonectris borealis,VGP,GCA_964195595.2,bCalBor7.hap1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_003957555.1.fa.gz,bCalAnn1_v1.p,Calypte anna,VGP,GCF_003957555.1,bCalAnn1_v1.p
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_036321535.1.fa.gz,mCamDro1.pat,Camelus dromedarius,VGP,GCF_036321535.1,mCamDro1.pat
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_035149785.1.fa.gz,rCanAsp1.hap2,Candoia aspera,VGP,GCF_035149785.1,rCanAsp1.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_905319855.2.fa.gz,mCanLor1.2,Canis lupus,VGP,GCA_905319855.2,mCanLor1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_048164855.1.fa.gz,mCanLup2.hap1,Canis lupus baileyi,VGP,GCF_048164855.1,mCanLup2.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_011100685.1.fa.gz,UU_Cfam_GSD_1.0,Canis lupus familiaris,VGP,GCF_011100685.1,UU_Cfam_GSD_1.0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_041735815.1.fa.gz,T2T-goat2.0,Capra hircus,VGP,GCA_041735815.1,T2T-goat2.0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_907165065.1.fa.gz,bCapEur3.1,Caprimulgus europaeus,VGP,GCA_907165065.1,bCapEur3.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963082965.1.fa.gz,fCarCar2.1,Carassius carassius,VGP,GCF_963082965.1,fCarCar2.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_017639515.1.fa.gz,sCarCar2.pri,Carcharodon carcharias,VGP,GCF_017639515.1,sCarCar2.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965140235.1.fa.gz,rCarCar1.hap1,Caretta caretta,VGP,GCA_965140235.1,rCarCar1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_033958435.1.fa.gz,ASM3395843v1,Carettochelys insculpta,VGP,GCA_033958435.1,ASM3395843v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_009819825.1.fa.gz,bCarCri1.pri,Cariama cristata,VGP,GCA_009819825.1,bCarCri1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009819885.2.fa.gz,bCatUst1.pri.v2,Catharus ustulatus,VGP,GCF_009819885.2,bCatUst1.pri.v2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048128805.1.fa.gz,fCenGer3.hap1.cur.20231027,Centroberyx gerrardi,VGP,GCA_048128805.1,fCenGer3.hap1.cur.20231027
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_910594005.1.fa.gz,mCerEla1.1,Cervus elaphus,VGP,GCF_910594005.1,mCerEla1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964194155.1.fa.gz,sCetMax3.hap1.1,Cetorhinus maximus,VGP,GCA_964194155.1,sCetMax3.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_039877785.1.fa.gz,fChaTrf1.hap1,Chaetodon trifascialis,VGP,GCF_039877785.1,fChaTrf1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_902362185.1.fa.gz,fChaCha1.1,Chanos chanos,VGP,GCF_902362185.1,fChaCha1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_017976325.1.fa.gz,fCheRos1.pri,Chelmon rostratus,VGP,GCF_017976325.1,fCheRos1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963514085.1.fa.gz,fCheLab1.1,Chelon labrosus,VGP,GCA_963514085.1,fCheLab1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_015237465.2.fa.gz,rCheMyd1.pri.v2,Chelonia mydas,VGP,GCF_015237465.2,rCheMyd1.pri.v2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_950005125.1.fa.gz,mChiNiv1.1,Chionomys nivalis,VGP,GCF_950005125.1,mChiNiv1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009829145.1.fa.gz,bChiLan1.pri,Chiroxiphia lanceolata,VGP,GCF_009829145.1,bChiLan1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_036417535.1.fa.gz,bChlMac1.mat,Chlamydotis macqueenii,VGP,GCA_036417535.1,bChlMac1.mat
